time,voltage,current
0.00,3.9066,0.9558
0.10,3.9041,0.9630
0.20,3.9054,0.9605
0.30,3.9052,0.9577
0.40,3.9019,0.9691
0.50,3.9011,0.9739
0.60,3.9011,0.9701
0.70,3.8982,0.9751
0.80,3.8994,0.9662
0.90,3.8997,0.9697
1.00,3.8992,0.9637
1.10,3.8955,0.9758
1.20,3.8965,0.9714
1.30,3.8960,0.9713
1.40,3.8935,0.9796
1.50,3.8943,0.9770
1.60,3.8944,0.9710
1.70,3.8940,0.9720
1.80,3.8912,0.9793
1.90,3.8906,0.9872
2.00,3.8906,0.9834
2.10,3.8890,0.9846
2.20,3.8905,0.9796
2.30,3.8901,0.9805
2.40,3.8878,0.9852
2.50,3.8884,0.9837
2.60,3.8878,0.9783
2.70,3.8873,0.9793
2.80,3.8848,0.9869
2.90,3.8863,0.9796
3.00,3.8847,0.9881
3.10,3.8826,0.9926
3.20,3.8840,0.9859
3.30,3.8832,0.9872
3.40,3.8806,0.9972
3.50,3.8808,0.9888
3.60,3.8798,0.9954
3.70,3.8794,0.9929
3.80,3.8778,0.9980
3.90,3.8796,0.9884
4.00,3.8791,0.9910
4.10,3.8759,0.9999
4.20,3.8771,0.9980
4.30,3.8772,0.9919
4.40,3.8762,0.9935
4.50,3.8763,0.9855
4.60,3.8767,0.9875
4.70,3.8766,0.9910
4.80,3.8738,0.9983
4.90,3.8751,0.9938
5.00,3.8750,0.9910
5.10,3.8728,0.9951
5.20,3.8739,0.9894
5.30,3.8741,0.9891
5.40,3.8713,0.9976
5.50,3.8699,1.0024
5.60,3.8694,1.0042
5.70,3.8721,0.9894
5.80,3.8684,1.0015
5.90,3.8687,1.0002
6.00,3.8691,0.9976
6.10,3.8660,1.0040
6.20,3.8684,0.9954
6.30,3.8680,0.9957
6.40,3.8673,0.9986
6.50,3.8648,1.0046
6.60,3.8660,0.9999
6.70,3.8660,0.9954
6.80,3.8640,1.0018
6.90,3.8655,0.9967
7.00,3.8652,0.9967
7.10,3.8633,0.9992
7.20,3.8650,0.9961
7.30,3.8640,0.9900
7.40,3.8635,0.9957
7.50,3.8612,1.0043
7.60,3.8624,0.9989
7.70,3.8629,0.9964
7.80,3.8599,1.0070
7.90,3.8614,0.9983
8.00,3.8612,0.9938
8.10,3.8592,0.9992
8.20,3.8609,0.9929
8.30,3.8606,0.9938
8.40,3.8592,0.9961
8.50,3.8566,1.0049
8.60,3.8587,1.0002
8.70,3.8581,0.9996
8.80,3.8561,1.0030
8.90,3.8582,0.9968
9.00,3.8574,0.9938
9.10,3.8557,1.0040
9.20,3.8567,0.9976
9.30,3.8565,0.9894
9.40,3.8565,0.9951
9.50,3.8537,1.0062
9.60,3.8551,1.0011
9.70,3.8544,0.9976
9.80,3.8527,1.0008
9.90,3.8542,0.9957
10.00,3.8538,0.9961
10.10,3.8525,0.9999
10.20,3.8535,0.9957
10.30,3.8534,0.9910
10.40,3.8526,0.9980
10.50,3.8504,1.0062
10.60,3.8513,0.9976
10.70,3.8509,1.0011
10.80,3.8488,1.0027
10.90,3.8502,0.9970
11.00,3.8504,0.9945
11.10,3.8502,1.0000
11.20,3.8484,1.0011
11.30,3.8492,0.9948
11.40,3.8492,0.9999
11.50,3.8456,1.0040
11.60,3.8474,1.0011
11.70,3.8475,0.9967
11.80,3.8459,1.0030
11.90,3.8475,0.9970
12.00,3.8475,0.9888
